skill,sub_category,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate,history_found
data analysis,Data Analytics,1.0,0.3262094880225457,0.625994,0.559777,160.0,0.5665329403023175,1
excel,Data Analytics,0.5062954467815138,0.0676373884452794,0.340903,0.535307,160.0,0.5665329403023175,1
quality assurance,Software Engineering,0.4426211507491093,0.1758572099577265,0.275063,0.305183,160.0,0.5665329403023175,1
microsoft excel,Data Analytics,0.3144429261627056,0.0676373884452794,0.233033,0.394582,160.0,0.5665329403023175,1
python,Programming,0.3070616368161632,0.6312822921559418,0.8764579861937632,0.7015987797299588,173.0,0.2559549510373113,1
sql,Database,0.2688375384315065,0.4884922498825739,0.8870745060699834,0.6359527710298853,161.2,0.282090112081051,1
electrical engineering,Engineering_Systems,0.2050534380947733,0.443400657585721,0.185112,0.131057,160.0,0.5665329403023175,1
mechanical engineering,Engineering_Systems,0.1875457517934703,0.3259746359793329,0.150221,0.178096,160.0,0.5665329403023175,1
java,Programming,0.1694768434922648,0.6448097698449977,0.4455129731016424,0.2813965312694198,164.0,0.0591148839694761,1
aws,Cloud,0.1554096920599287,0.6782527007984969,0.5054986907879074,0.409682,160.0,0.007890961209833,1
agile,Software Engineering,0.1404397052364452,0.5373414748708314,0.274694,0.213647,160.0,0.5665329403023175,1
software development,Software Engineering,0.1274339954126201,0.6200093940817286,0.317708,0.266445,160.0,0.5665329403023175,1
testing,Software Engineering,0.1217119711092674,0.2461249412869891,0.265282,0.216942,160.0,0.5665329403023175,1
machine learning,AI_ML,0.1194060807183641,0.8511038046031001,0.346147,0.646826,160.0,0.70156024372584,1
javascript,Programming,0.1153067200234249,0.5373414748708314,1.0,0.5977628382577256,175.0,0.0801447139711219,1
automation,Software Engineering,0.1137572592845639,0.4396430248943166,0.302034,0.330555,160.0,0.5665329403023175,1
data analytics,Data Analytics,0.1059733541554829,0.4419915453264442,0.431744,0.242801,160.0,0.5665329403023175,1
data visualization,Data Analytics,0.1026548240691035,0.4276045091592297,0.263399,0.328155,160.0,0.5665329403023175,1
software engineering,Software Engineering,0.1005929432433751,0.7820573038985439,0.343115,0.247802,160.0,0.5665329403023175,1
linux,DevOps,0.0959933629398272,0.5746829497416628,0.483292,0.377007,160.0,0.3685684406574158,1
cloud computing,Cloud,0.0913449807232443,0.6716768435885392,0.384641,0.374111,160.0,0.1308896492023329,1
azure,Cloud,0.0886242740715436,0.6057303898543918,0.30692692216139,0.334348,143.0,0.1308896492023329,1
tableau,Data Analytics,0.0857327607242203,0.4209746359793329,0.34347,0.310487,155.8,0.5665329403023175,1
jira,Tools_Platforms,0.0855375530720804,0.4903710662282761,0.227972,0.3707135190102254,160.0,0.5665329403023175,1
kubernetes,DevOps,0.0818774095944561,0.7108619069985909,0.3329207331587717,0.3825772555222869,143.0,0.3685684406574158,1
c++,Programming,0.0811819823337074,0.9410521371535934,0.644373,0.2961979549178012,158.0,0.1310244007450515,1
devops,DevOps,0.0770094187692157,0.6312822921559418,0.509982,0.347952,160.0,0.3685684406574158,1
docker,DevOps,0.0763017910302083,0.6782527007984969,0.8290407045941441,0.6916558386531835,164.0,0.2510784672300354,1
statistics,Data Analytics,0.0749841393782636,0.2790042273367777,0.2899,0.264691,160.0,0.5665329403023175,1
statistical analysis,Data Analytics,0.0745205212044312,0.3964302489431657,0.220089,0.348291,160.0,0.5665329403023175,1
git,DevOps,0.0720926260309404,0.5631751996242367,0.452144,0.326397,160.0,0.3685684406574158,1
oracle,Database,0.0667976184666439,0.3922404884922499,0.1314448940728396,0.071125925088978,160.0,0.160466931421689,1
power bi,Data Analytics,0.0662363964667415,0.3494598403006106,0.270022,0.257822,162.5,0.5665329403023175,1
sharepoint,Tools_Platforms,0.0651993558147479,0.2220009394081727,0.229424,0.307204,160.0,0.5665329403023175,1
ms excel,Data Analytics,0.064418525206188,0.1146077970878346,0.334246,0.367183,160.0,0.5665329403023175,1
programming,Programming,0.0643087209018593,0.350164396430249,0.380904,0.386355,160.0,0.1310244007450515,1
business intelligence,Data Analytics,0.0592821238592552,0.5373414748708314,0.309377,0.286467,160.0,0.5665329403023175,1
databases,Database,0.0589161095114928,0.2320338186942225,0.230449,0.213914,160.0,0.2160152322616729,1
data science,AI_ML,0.0587575032941291,0.650070455612964,0.234615,0.720376,160.0,0.70156024372584,1
c#,Programming,0.0576228588160655,0.5711601690934711,0.563238,0.3455736964013333,163.0,0.1310244007450515,1
database management,Database,0.0560367966424283,0.1615782057303898,0.172429,0.217657,160.0,0.2160152322616729,1
systems engineering,Engineering_Systems,0.0552193645990922,0.633161108501644,0.162611,0.128078,160.0,0.5665329403023175,1
artificial intelligence,AI_ML,0.0546581425991898,0.7017379051197745,0.23128,0.49748,160.0,0.70156024372584,1
cybersecurity,Cybersecurity,0.051120003904153,0.5771254109910757,0.181628,0.27169,160.0,0.5665329403023175,1
agile development,Software Engineering,0.0510346005563418,0.5138562705495537,0.343035,0.283384,160.0,0.5665329403023175,1
information technology,Tools_Platforms,0.0502049680347469,0.3494598403006106,0.240206,0.180224,160.0,0.5665329403023175,1
robotics,Engineering_Systems,0.0472402518178712,0.3729450446218882,0.157472,0.163334,160.0,0.5665329403023175,1
react,Programming,0.0444097408618417,0.5516016909347112,0.5044513211140204,0.3968137393367606,163.0,0.1295611986695699,1
matlab,Programming,0.0432994973402957,0.559652418976045,0.0586050940252319,0.0348567877521044,160.0,0.1805003728377471,1
gcp,Cloud,0.0425918696012883,0.6838891498356037,0.2863603903832419,0.306002,153.0,0.1368953154308607,1
unit testing,Software Engineering,0.0424942657752183,0.5670079849694691,0.319675,0.182697,160.0,0.5665329403023175,1
data modeling,Database,0.0420306476013859,0.6127289807421326,0.360673,0.192761,160.0,0.2160152322616729,1
jenkins,DevOps,0.0411278122102386,0.623767026773133,0.363107,0.3628,160.0,0.3685684406574158,1
microservices,Software Engineering,0.0409082036015811,0.6761860028182245,0.397984,0.301958,160.0,0.5665329403023175,1
nosql,Database,0.0394929481235664,0.6887740723344293,0.233239,0.25225,160.0,0.2160152322616729,1
typescript,Programming,0.039029329949734,0.6838891498356037,0.6597952868364676,0.5705327382633749,166.0,0.2649920077198655,1
terraform,DevOps,0.0359548094285296,0.6838891498356037,0.2070459414425136,0.2156375346025648,160.0,0.4296025825177979,1
ci/cd,DevOps,0.0357962032111658,0.6547674964772194,0.457996,0.306047,160.0,0.3685684406574158,1
confluence,Tools_Platforms,0.0353325850373334,0.4903710662282761,0.187832,0.2409468391616293,160.0,0.5665329403023175,1
coding,Programming,0.0344663510809623,0.3494598403006106,0.348353,0.33788,160.0,0.1310244007450515,1
sql server,Database,0.0344663510809623,0.4246124941286988,0.266231,0.26506,160.0,0.2160152322616729,1
data engineering,Data Engineering,0.0329412912986189,0.6990436824800377,0.223671,0.293839,160.0,0.2683583684151263,1
network security,Cybersecurity,0.0328070860377726,0.5138562705495537,0.25508,0.261244,160.0,0.5665329403023175,1
angular,Programming,0.0320262554292128,0.5373414748708314,0.2874077600571292,0.1614598045308174,160.0,0.0531604792503745,1
information security,Cybersecurity,0.0318310477770728,0.5131517144199154,0.1844,0.27094,160.0,0.5665329403023175,1
computer engineering,Engineering_Systems,0.031001415255478,0.5986519492719586,0.167801,0.232769,160.0,0.5665329403023175,1
electronics,Engineering_Systems,0.0307940071250793,0.300019,0.112334,0.08948,160.0,0.5665329403023175,0
system design,Software Engineering,0.0286955248645746,0.5087364960075154,0.258547,0.258987,160.0,0.5665329403023175,1
mysql,Database,0.0284393148211409,0.5852512916862376,0.5037372054272791,0.2892491949607367,168.0,0.191707,1
node.js,Programming,0.0278292909082036,0.6838891498356037,0.598699,0.384498050957573,166.0,0.1310244007450515,1
software testing,Software Engineering,0.0273656727343711,0.2930953499295443,0.27827,0.2598,160.0,0.5665329403023175,1
data governance,Data Engineering,0.0271826655604899,0.6782527007984969,0.287555,0.280314,160.0,0.2683583684151263,1
agile methodologies,Software Engineering,0.0270484602996437,0.5373414748708314,0.356266,0.260752,160.0,0.5665329403023175,1
agile methodology,Software Engineering,0.0265604411692938,0.5255988727101926,0.329906,0.273041,160.0,0.5665329403023175,1
hadoop,Data Engineering,0.0260846225172026,0.7261625176139033,0.276782,0.306383,160.0,0.2683583684151263,1
unix,DevOps,0.025633204821629,0.560826679192109,0.432473,0.38007,160.0,0.3685684406574158,1
big data,Data Engineering,0.024327753647943,0.6976984499765149,0.322649,0.30568,160.0,0.2683583684151263,1
cyber security,Cybersecurity,0.0240227416914743,0.560826679192109,0.215876,0.255446,160.0,0.5665329403023175,1
plc programming,Programming,0.0238641354741105,0.1367778299671207,0.328245,0.292647,160.0,0.1310244007450515,1
microsoft azure,Cloud,0.0234981211263481,0.6200093940817286,0.362262,0.2310038980848539,160.0,0.1308896492023329,1
continuous integration,DevOps,0.0225098823873895,0.6312822921559418,0.415219,0.23179,160.0,0.3685684406574158,1
programming languages,Programming,0.0224732809526133,0.6259675904180366,0.461082,0.448881,160.0,0.1310244007450515,1
c/c++,Programming,0.0223756771265433,1.0,0.4326,0.3919,160.0,0.1310244007450515,1
etl,Data Engineering,0.0220950661265921,0.5861906998590889,0.330415,0.313872,160.0,0.2683583684151263,1
github,DevOps,0.021326435996291,0.6312822921559418,0.375316,1.0,160.0,0.3685684406574158,1
database,Database,0.0208018154311649,0.208548614372945,0.253041,0.137396,160.0,0.2160152322616729,1
snowflake,Database,0.0207896149529061,0.6838891498356037,0.0513687217329206,0.0603355742613411,160.0,0.6474776120268291,1
postgresql,Database,0.0196915719096188,0.7090183184593706,0.6916924541775769,0.6701881249646913,169.0,0.2715635331016569,1
objectoriented programming,Programming,0.0196183690400663,0.5711601690934711,0.342073,0.387957,160.0,0.1310244007450515,1
deep learning,AI_ML,0.0189351422575764,0.976984499765148,0.260541,0.543536,160.0,0.70156024372584,1
apis,Software Engineering,0.0188741398662827,0.6181305777360264,0.327694,0.305944,160.0,0.5665329403023175,1
php,Programming,0.0188741398662827,0.4503147017379052,0.2853606284218041,0.162307214281679,160.0,0.1324876028205329,1
mongodb,Database,0.0186057293445903,0.6350399248473462,0.2983575339204951,0.2497599005705892,159.0,0.0298510461205016,1
integration testing,Software Engineering,0.0178859011273241,0.4884922498825739,0.244553,0.232038,160.0,0.5665329403023175,1
pytorch,AI_ML,0.0177272949099604,0.9985908877407236,0.229299,0.512933,153.0,1.0,1
azure devops,Cloud,0.0175930896491142,0.559887271019258,0.363839,0.1650754194678266,160.0,0.1308896492023329,1
api,Software Engineering,0.0169464643014006,0.5843118835133865,0.280019,0.281231,160.0,0.5665329403023175,1
data architecture,Data Engineering,0.0167512566492606,0.7815875998121184,0.274988,0.273058,160.0,0.2683583684151263,1
computer vision,AI_ML,0.0166048509101556,0.7721935180836073,0.370147,0.572054,160.0,0.70156024372584,1
embedded systems,Engineering_Systems,0.0165682494753794,0.560826679192109,0.166632,0.09901,160.0,0.5665329403023175,1
tensorflow,AI_ML,0.0162388365623932,0.9333020197275717,0.338639,0.554918,134.0,0.4031204874516799,1
system testing,Software Engineering,0.0140915523888536,0.363550962893377,0.243732,0.274488,160.0,0.5665329403023175,1
