skill,countries_present,raw_global_interest,global_adoption_score
aws,250,3019,0.3088851160158461
azure,250,4764,0.5063950198075835
c#,250,3550,0.3689869835880023
c++,250,9125,1.0
django,250,1429,0.12891907187323146
docker,250,935,0.0730050933786078
fastapi,250,1079,0.08930390492359933
flask,250,3517,0.36525183927560834
gcp,250,2200,0.21618562535370686
go,250,8162,0.8910016977928693
java,250,1848,0.1763440860215054
javascript,250,5832,0.627277872099604
kubernetes,250,1709,0.1606112054329372
langchain,250,522,0.026259196378041874
llm,250,1173,0.09994340690435766
mongodb,250,1474,0.13401245048104132
mysql,250,872,0.06587436332767402
next.js,250,2377,0.23621958121109224
node.js,250,1367,0.12190152801358234
numpy,250,727,0.049462365591397855
pandas,250,1479,0.13457838143746464
postgresql,250,2282,0.22546689303904924
power bi,250,6491,0.701867572156197
python,250,1346,0.11952461799660441
pytorch,250,290,0.0
rag,250,2933,0.299151103565365
react,250,2873,0.29235993208828526
redis,250,391,0.011431805319750986
rust,250,3059,0.3134125636672326
scikit-learn,250,1466,0.13310696095076402
spark,250,2908,0.2963214487832485
sql,250,2786,0.2825127334465195
tableau,250,1050,0.08602150537634409
tensorflow,250,564,0.031013016411997732
typescript,250,1644,0.15325410299943407
