skill,countries_present,country_coverage,country_entropy,global_adoption_score
aws,160,0.8648648648648649,0.9194722961236705,0.8921685804942677
azure,143,0.772972972972973,0.9384869301105709,0.855729951541772
c#,163,0.8810810810810811,0.9653617455100596,0.9232214132955703
c++,158,0.8540540540540541,0.9309442720196546,0.8924991630368544
django,147,0.7945945945945946,0.9909382369028188,0.8927664157487067
docker,164,0.8864864864864865,0.9587470724236914,0.922616779455089
fastapi,133,0.7189189189189189,0.9756021999486456,0.8472605594337823
flask,143,0.772972972972973,0.9480032932625021,0.8604881331177375
gcp,153,0.827027027027027,0.9675080783849629,0.897267552705995
go,133,0.7189189189189189,0.9315110536356112,0.8252149862772651
java,164,0.8864864864864865,0.9631559494117667,0.9248212179491266
javascript,175,0.9459459459459459,0.9704617029539278,0.9582038244499369
kubernetes,143,0.772972972972973,0.9356395393073773,0.8543062561401751
langchain,0,0.0,0.0,0.0
llm,0,0.0,0.0,0.0
mongodb,159,0.8594594594594595,0.9897872699955986,0.924623364727529
mysql,168,0.9081081081081082,0.9974997525831663,0.9528039303456373
next.js,153,0.827027027027027,1.0,0.9135135135135135
node.js,166,0.8972972972972973,0.9752509025078546,0.936274099902576
numpy,144,0.7783783783783784,0.9276773167965902,0.8530278475874843
pandas,151,0.8162162162162162,0.934085117758921,0.8751506669875686
postgresql,169,0.9135135135135135,0.9760554189369187,0.9447844662252161
power bi,0,0.0,0.0,0.0
python,173,0.9351351351351351,0.9376893054379302,0.9364122202865326
pytorch,0,0.0,0.0,0.0
rag,0,0.0,0.0,0.0
react,163,0.8810810810810811,0.9731283884301268,0.927104734755604
redis,151,0.8162162162162162,0.9769503655229652,0.8965832908695908
rust,131,0.7081081081081081,0.8956342007735034,0.8018711544408057
scikit-learn,134,0.7243243243243244,0.9289017339384583,0.8266130291313913
spark,0,0.0,0.0,0.0
sql,0,0.0,0.0,0.0
tableau,0,0.0,0.0,0.0
tensorflow,134,0.7243243243243244,0.9552093688649018,0.8397668465946131
typescript,166,0.8972972972972973,0.9692761167420435,0.9332867070196704
