skill,linkedin_frequency
communication,370143
customer service,278102
teamwork,227609
communication skills,195949
leadership,185187
problem solving,149032
time management,142911
attention to detail,133975
problemsolving,129329
project management,121563
interpersonal skills,100267
patient care,99926
sales,93031
nursing,88015
collaboration,87116
training,83656
data analysis,81964
microsoft office suite,75531
organizational skills,75274
inventory management,71911
high school diploma,67267
scheduling,64461
bachelor's degree,63490
multitasking,62044
analytical skills,60768
microsoft office,60604
adaptability,59121
flexibility,56896
critical thinking,53081
documentation,51875
organization,47045
safety,45908
budgeting,45401
troubleshooting,44508
excel,41498
problemsolving skills,41468
written communication,41235
conflict resolution,40955
supervision,39138
coaching,38473
quality control,37857
merchandising,37578
paid time off,37267
verbal communication,37203
life insurance,36732
reporting,36528
quality assurance,36279
decision making,36102
computer skills,35665
team management,35034
travel,35025
accounting,34835
research,34517
lifting,33572
registered nurse,33335
team leadership,33081
driver's license,32168
negotiation,32151
food safety,32115
dental insurance,31821
cash handling,31698
healthcare,30926
planning,30788
risk management,30682
management,30517
mentoring,30380
marketing,29604
presentation skills,29240
health insurance,28688
engineering,28686
supervisory experience,28571
compliance,28279
vision insurance,28231
bls,28107
valid driver's license,27706
retail experience,27189
equal opportunity employer,27068
confidentiality,26590
patient education,26586
prioritization,26409
microsoft excel,25773
professionalism,25429
business development,25303
python,25168
data entry,24911
cpr,24584
fastpaced environment,24163
high school diploma or equivalent,23857
acls,23828
education,23667
professional development,23644
motivation,23307
decisionmaking,23232
high school diploma or ged,23048
initiative,22690
leadership skills,22668
retail,22060
sql,22035
bls certification,21979
physical stamina,21923
relationship building,21749
budget management,21666
diversity,21586
product knowledge,21346
standing,21112
performance management,21050
case management,21013
medication administration,20906
microsoft word,20522
maintenance,20149
teaching,20102
food preparation,19840
hiring,19544
physical strength,19505
team player,19442
medical,19005
cpr certification,18967
vision,18764
bending,18671
ability to work in a fastpaced environment,18607
integrity,18547
regulatory compliance,18036
financial analysis,17995
autocad,17981
flexible schedule,17904
ability to work independently,17824
finance,17806
tuition reimbursement,17663
walking,17662
team work,17649
continuing education,17435
empathy,17387
compassion,17335
cleaning,17295
networking,17065
word,17060
401k,16858
electrical engineering,16807
master's degree,16685
innovation,16613
assessment,16590
medical terminology,16545
counseling,16534
quality improvement,16430
paid holidays,16309
manufacturing,16306
employee assistance program,16290
financial reporting,16277
dental,16185
continuous improvement,16172
account management,16083
forecasting,16069
strategic planning,15943
powerpoint,15846
sanitation,15822
selfmotivation,15797
inventory control,15761
401(k),15738
civil engineering,15735
change management,15663
construction management,15577
process improvement,15405
mechanical engineering,15372
diversity and inclusion,15282
weekly pay,15211
background check,15163
medical benefits,15124
team collaboration,15103
team building,15033
evaluation,14934
positive attitude,14856
training and development,14798
inclusion,14738
accuracy,14681
construction,14626
development,14560
customer service skills,14532
infection control,14319
sap,14058
java,13891
retail management,13860
dental benefits,13847
social work,13748
rn,13714
technical writing,13512
financial management,13430
rn license,13387
english,13379
hospitality,13278
ethics,13246
travel nursing,13076
report writing,12811
medical insurance,12800
aws,12738
security,12684
outlook,12664
vision benefits,12651
time management skills,12650
ability to work under pressure,12636
ms office,12538
delegation,12237
radiology,12100
patient assessment,11962
detailoriented,11953
computer science,11941
writing,11905
risk assessment,11850
human resources,11841
driving,11820
independent work,11682
reaching,11678
creativity,11671
english proficiency,11599
recruitment,11591
agile,11511
physical fitness,11500
stooping,11442
coordination,11421
stress management,11410
data collection,11399
first aid,11294
mathematical calculations,11241
treatment planning,11220
equipment maintenance,11169
computer literacy,11148
ability to work independently and as part of a team,11001
disability insurance,10966
pals,10965
oral communication,10878
referral bonus,10875
design,10866
public speaking,10755
physical demands,10724
psychology,10684
analytical thinking,10501
software development,10445
401(k) plan,10438
record keeping,10371
data management,10282
registered nurse (rn),10228
client relations,10215
retail operations,10184
loss prevention,10151
customer relationship management,10123
mental health,10117
kneeling,10072
remote work,10025
testing,9976
safety procedures,9970
basic computer skills,9846
technical skills,9790
machine learning,9787
contract management,9757
procurement,9739
climbing,9730
interpersonal communication,9695
root cause analysis,9660
ability to meet deadlines,9659
payroll,9615
accountability,9615
business administration,9469
javascript,9451
crm,9422
salesforce,9366
pto,9341
automation,9324
covid19 vaccination,9317
hipaa,9289
insurance,9270
implementation,9258
reliable transportation,9212
supply chain management,9200
paid vacation,9190
stakeholder management,9180
active listening,9174
cost control,9130
reliability,9120
internal medicine,9062
crisis intervention,9034
teamwork skills,9003
restaurant management,8998
business acumen,8987
procedures,8985
