skill,linkedin_demand,salary_premium,geographic_spread,current_usage,future_interest,future_score
aws,0.5029493198507283,0.5714285714285715,1.0,0.591886269070735,0.686924072804813,0.6406579815192626
azure,0.2882709361582601,0.49790476190476196,1.0,0.3427397844873573,0.39235397151778234,0.43548830602960675
c#,0.18867621684523095,0.46285714285714297,1.0,0.4352395177637896,0.4920036554717843,0.4540848327195721
c++,0.26579992777175876,0.8378571428571427,1.0,0.36879867705110425,0.4140202574061381,0.4923554450213251
django,0.01520805746157859,0.5276190476190475,1.0,0.1556332017497066,0.18936105399436448,0.27256622066873537
docker,0.24842502307291042,0.5714285714285715,1.0,0.7793395924463886,1.0,0.7147214803494716
fastapi,0.0026082420448617634,0.8095238095238094,1.0,0.1280273124933319,0.18711446196024673,0.306774790499873
flask,0.010794109385658682,0.478095238095238,1.0,0.1665688680251787,0.15208285736044475,0.25262714334063285
gcp,0.13863809638457528,0.5771428571428571,1.0,0.30953270030939933,0.372096565379636,0.3978946555968549
go,0.14128646523012722,0.0,1.0,0.21612610690280593,0.5268829487472393,0.3521495644044864
java,0.5511416074796357,0.539,1.0,0.4864771151178918,0.4062143020333562,0.5337819748492674
javascript,0.37546647405802336,0.4285714285714285,1.0,1.0,0.9052623562561877,0.7249941574898857
kubernetes,0.2664419565828017,0.6044880952380952,1.0,0.28013976314947187,0.5025131368517249,0.4751842658019392
langchain,0.002126720436579592,0.8411904761904762,0.75,0.0,0.0,0.20171025153771632
llm,0.008827896151839815,0.738095238095238,1.0,0.0,0.0,0.21292125975224566
mongodb,0.06067172264355363,0.5276190476190475,1.0,0.34692734450016005,0.41817074099459295,0.3927096488268771
mysql,0.09277316319569842,0.4771428571428572,1.0,0.562760055478502,0.467176909603229,0.4426906460532586
next.js,0.006059146904217327,0.7009523809523809,1.0,0.23154272911554466,0.3239281090549082,0.35476389140546105
node.js,0.09100758396533046,0.5820952380952381,1.0,0.5273658380454497,0.561076841063133,0.48554795178453236
numpy,0.018337947915412704,0.7976190476190476,1.0,0.25920196308545823,0.29083847384053,0.3649011044287145
pandas,0.02146783836924682,0.733904761904762,1.0,0.25341406166648883,0.2796435915010281,0.3513400401533592
postgresql,0.06416275430359938,0.6026190476190475,1.0,0.6811053024645258,0.9140583352372249,0.6285197584214646
power bi,0.2158019341117933,0.23809523809523803,1.0,0.0,0.0,0.18966476924223402
python,1.0,0.5238095238095238,1.0,0.8193481276005548,0.9537354352296092,0.885281050041875
pytorch,0.05794310019662133,0.8961904761904761,1.0,0.0,0.0,0.24891434647772673
rag,0.0001605072027607239,0.9999999999999999,1.0,0.0,0.0,0.25004012680069015
react,0.1452991452991453,0.44401904761904765,1.0,0.511229062199936,0.5865509100601629,0.48490482131869095
redis,0.03430841459010473,0.6714285714285714,1.0,0.27907286887869415,0.41303023379788284,0.39571290152287497
rust,0.022430881585811167,0.8095238095238094,1.0,0.2016163448202283,0.6561571852867261,0.4869337583984126
scikit-learn,0.0,0.8247619047619047,0.0,0.12933425797503467,0.1597745792399665,0.19903552714452916
spark,0.08579109987560693,0.5380952380952381,1.0,0.0,0.0,0.20216206068318746
sql,0.8701496729665744,0.37904761904761897,1.0,0.8183612504000853,0.8529434163430051,0.7956789443788509
tableau,0.2771156855663898,0.31059761904761907,1.0,0.0,0.0,0.21586856424874032
tensorflow,0.05300750371172907,0.83,1.0,0.12370639069668196,0.23067550072347878,0.3370442597856521
typescript,0.12712170458649333,0.5771428571428571,1.0,0.6174650592126321,0.7706572233645571,0.5807016417775417
