skill,linkedin_demand,salary_premium,geographic_spread,current_usage,future_interest,future_score,global_adoption_score
aws,0.5029493198507283,0.5714285714285715,1.0,0.0,0.0,0.3114516156769678,0.3088851160158461
azure,0.2882709361582601,0.4979047619047619,1.0,0.0,0.0,0.2467534483252793,0.5063950198075835
c#,0.1886762168452309,0.4628571428571429,1.0,0.4352395177637896,0.4920036554717843,0.4540848327195721,0.3689869835880023
c++,0.2657999277717587,0.8378571428571427,1.0,0.3687986770511042,0.4140202574061381,0.4923554450213251,1.0
django,0.0152080574615785,0.5276190476190475,1.0,0.1556332017497066,0.1893610539943644,0.2725662206687353,0.12891907187323146
docker,0.2484250230729104,0.5714285714285715,1.0,0.7793395924463886,1.0,0.7147214803494716,0.0730050933786078
fastapi,0.0026082420448617,0.8095238095238094,1.0,0.1280273124933319,0.1871144619602467,0.306774790499873,0.08930390492359933
flask,0.0107941093856586,0.478095238095238,1.0,0.1665688680251787,0.1520828573604447,0.2526271433406328,0.36525183927560834
gcp,0.1386380963845752,0.5771428571428571,1.0,0.0,0.0,0.2212309526675724,0.21618562535370686
go,0.1412864652301272,0.0,1.0,0.2161261069028059,0.5268829487472393,0.3521495644044864,0.8910016977928693
java,0.5511416074796357,0.539,1.0,0.4864771151178918,0.4062143020333562,0.5337819748492674,0.1763440860215054
javascript,0.3754664740580233,0.4285714285714285,1.0,1.0,0.9052623562561876,0.7249941574898857,0.627277872099604
kubernetes,0.2664419565828017,0.6044880952380952,1.0,0.2801397631494718,0.5025131368517249,0.4751842658019392,0.1606112054329372
langchain,0.0021267204365795,0.8411904761904762,0.75,0.0,0.0,0.2017102515377163,0.026259196378041874
llm,0.0088278961518398,0.738095238095238,1.0,0.0,0.0,0.2129212597522456,0.09994340690435766
mongodb,0.0606717226435536,0.5276190476190475,1.0,0.34692734450016,0.4181707409945929,0.3927096488268771,0.13401245048104132
mysql,0.0927731631956984,0.4771428571428572,1.0,0.562760055478502,0.467176909603229,0.4426906460532586,0.06587436332767402
next.js,0.0060591469042173,0.7009523809523809,1.0,0.2315427291155446,0.3239281090549082,0.354763891405461,0.23621958121109224
node.js,0.0910075839653304,0.5820952380952381,1.0,0.5273658380454497,0.561076841063133,0.4855479517845323,0.12190152801358234
numpy,0.0183379479154127,0.7976190476190476,1.0,0.2592019630854582,0.29083847384053,0.3649011044287145,0.049462365591397855
pandas,0.0214678383692468,0.733904761904762,1.0,0.2534140616664888,0.2796435915010281,0.3513400401533592,0.13457838143746464
postgresql,0.0641627543035993,0.6026190476190475,1.0,0.6811053024645258,0.9140583352372248,0.6285197584214646,0.22546689303904924
power bi,0.2158019341117933,0.238095238095238,1.0,0.0,0.0,0.189664769242234,0.701867572156197
python,1.0,0.5238095238095238,1.0,0.8193481276005548,0.9537354352296092,0.885281050041875,0.11952461799660441
pytorch,0.0579431001966213,0.8961904761904761,1.0,0.0,0.0,0.2489143464777267,0.0
rag,0.0001605072027607,1.0,1.0,0.0,0.0,0.2500401268006901,0.299151103565365
react,0.1452991452991453,0.4440190476190476,1.0,0.511229062199936,0.5865509100601629,0.4849048213186909,0.29235993208828526
redis,0.0343084145901047,0.6714285714285714,1.0,0.2790728688786941,0.4130302337978828,0.3957129015228749,0.011431805319750986
rust,0.0224308815858111,0.8095238095238094,1.0,0.2016163448202283,0.6561571852867261,0.4869337583984126,0.3134125636672326
scikit-learn,0.0,0.8247619047619047,0.0,0.1293342579750346,0.1597745792399665,0.1990355271445291,0.13310696095076402
spark,0.0857910998756069,0.5380952380952381,1.0,0.0,0.0,0.2021620606831874,0.2963214487832485
sql,0.8701496729665744,0.3790476190476189,1.0,0.8183612504000853,0.8529434163430051,0.7956789443788509,0.2825127334465195
tableau,0.2771156855663898,0.310597619047619,1.0,0.0,0.0,0.2158685642487403,0.08602150537634409
tensorflow,0.053007503711729,0.83,1.0,0.1237063906966819,0.2306755007234787,0.3370442597856521,0.031013016411997732
typescript,0.1271217045864933,0.5771428571428571,1.0,0.6174650592126321,0.7706572233645571,0.5807016417775417,0.15325410299943407
