skill,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate
aws,0.5029493198507283,0.5714285714285715,0.591886269070735,0.686924072804813,0.8921685804942677,0.39333645247086385
azure,0.2882709361582601,0.4979047619047619,0.3427397844873573,0.3923539715177823,0.855729951541772,0.2740241575127715
c#,0.1886762168452309,0.4628571428571429,0.4352395177637896,0.4920036554717843,0.9232214132955704,0.29605947245062997
c++,0.2657999277717587,0.8378571428571427,0.3687986770511042,0.4140202574061381,0.8924991630368544,0.27208757296366265
django,0.0152080574615785,0.5276190476190475,0.1556332017497066,0.1893610539943644,0.8927664157487067,0.23996386992170057
docker,0.2484250230729104,0.5714285714285715,0.7793395924463886,1.0,0.922616779455089,0.7979498105439395
fastapi,0.0026082420448617,0.8095238095238094,0.1280273124933319,0.1871144619602467,0.8472605594337823,0.2521231526862826
flask,0.0107941093856586,0.478095238095238,0.1665688680251787,0.1520828573604447,0.8604881331177375,0.21759529613691392
gcp,0.1386380963845752,0.5771428571428571,0.3095327003093993,0.372096565379636,0.897267552705995,0.28395475712834484
go,0.1412864652301272,0.0,0.2161261069028059,0.5268829487472393,0.8252149862772651,0.6497048901313522
java,0.5511416074796357,0.539,0.4864771151178918,0.4062143020333562,0.9248212179491266,0.13842908162404124
javascript,0.3754664740580233,0.4285714285714285,1.0,0.9052623562561876,0.9582038244499368,0.0
kubernetes,0.2664419565828017,0.6044880952380952,0.2801397631494718,0.5025131368517249,0.8543062561401751,0.5143266985458451
langchain,0.0021267204365795,0.8411904761904762,0.0,0.0,0.0,0.22333227857767626
llm,0.0088278961518398,0.738095238095238,0.0,0.0,0.0,0.22333227857767626
mongodb,0.0606717226435536,0.5276190476190475,0.34692734450016,0.4181707409945929,0.924623364727529,0.3009128037073902
mysql,0.0927731631956984,0.4771428571428572,0.562760055478502,0.467176909603229,0.9528039303456372,0.10704903266965386
next.js,0.0060591469042173,0.7009523809523809,0.2315427291155446,0.3239281090549082,0.9135135135135136,0.301262577396234
node.js,0.0910075839653304,0.5820952380952381,0.5273658380454497,0.561076841063133,0.936274099902576,0.2725870688469196
numpy,0.0183379479154127,0.7976190476190476,0.2592019630854582,0.29083847384053,0.8530278475874843,0.2472927242561242
pandas,0.0214678383692468,0.733904761904762,0.2534140616664888,0.2796435915010281,0.8751506669875686,0.24243300277172844
postgresql,0.0641627543035993,0.6026190476190475,0.6811053024645258,0.9140583352372248,0.944784466225216,0.7778261349151177
power bi,0.2158019341117933,0.238095238095238,0.0,0.0,0.0,0.22333227857767626
python,1.0,0.5238095238095238,0.8193481276005548,0.9537354352296092,0.9364122202865326,0.5570971522942127
pytorch,0.0579431001966213,0.8961904761904761,0.0,0.0,0.0,0.22333227857767626
rag,0.0001605072027607,1.0,0.0,0.0,0.0,0.22333227857767626
react,0.1452991452991453,0.4440190476190476,0.511229062199936,0.5865509100601629,0.927104734755604,0.3383808248562595
redis,0.0343084145901047,0.6714285714285714,0.2790728688786941,0.4130302337978828,0.8965832908695908,0.36741201177165095
rust,0.0224308815858111,0.8095238095238094,0.2016163448202283,0.6561571852867261,0.8018711544408057,1.0
scikit-learn,0.0,0.8247619047619047,0.1293342579750346,0.1597745792399665,0.8266130291313913,0.2359974587005268
spark,0.0857910998756069,0.5380952380952381,0.0,0.0,0.0,0.22333227857767626
sql,0.8701496729665744,0.3790476190476189,0.8183612504000853,0.8529434163430051,0.0,0.30014388859317637
tableau,0.2771156855663898,0.310597619047619,0.0,0.0,0.0,0.22333227857767626
tensorflow,0.053007503711729,0.83,0.1237063906966819,0.2306755007234787,0.8397668465946131,0.28758837093665446
typescript,0.1271217045864933,0.5771428571428571,0.6174650592126321,0.7706572233645571,0.9332867070196704,0.5307665374755152
