skill,sub_category,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate,history_found,cluster,pc1,pc2,archetype
data analysis,Data Analytics,1.0,0.3262094880225457,0.625994,0.559777,0.6341463414634143,0.5665329403023175,1,3,3.282909114588735,-5.95995092518913,Future-Proof
excel,Data Analytics,0.5062954467815138,0.0676373884452794,0.340903,0.535307,0.6341463414634143,0.5665329403023175,1,2,0.823163994134931,-4.208818098163415,Growing
quality assurance,Software Engineering,0.4426211507491093,0.1758572099577265,0.275063,0.305183,0.6341463414634143,0.5665329403023175,1,2,-0.24495841847313402,-3.5349082196832886,Growing
microsoft excel,Data Analytics,0.3144429261627056,0.0676373884452794,0.233033,0.394582,0.6341463414634143,0.5665329403023175,1,2,-0.4661618047369586,-3.2033263517471204,Growing
python,Programming,0.3070616368161632,0.6312822921559418,0.8764579861937632,0.7015987797299588,0.9512195121951219,0.2559549510373113,1,3,5.283295926491473,-1.5437754891409756,Future-Proof
sql,Database,0.2688375384315065,0.4884922498825739,0.8870745060699834,0.6359527710298853,0.6634146341463412,0.282090112081051,1,3,3.910240588374755,-1.136054933890292,Future-Proof
electrical engineering,Engineering_Systems,0.2050534380947733,0.443400657585721,0.185112,0.131057,0.6341463414634143,0.5665329403023175,1,2,-1.3869378770531724,-1.3531914614845035,Growing
mechanical engineering,Engineering_Systems,0.1875457517934703,0.3259746359793329,0.150221,0.178096,0.6341463414634143,0.5665329403023175,1,2,-1.5237190928486761,-1.6608321981478138,Growing
java,Programming,0.1694768434922648,0.6448097698449977,0.4455129731016424,0.2813965312694198,0.7317073170731705,0.0591148839694761,1,1,1.3864247462953136,-0.04512685511033062,High-Risk
aws,Cloud,0.1554096920599287,0.6782527007984969,0.5054986907879074,0.409682,0.6341463414634143,0.007890961209833,1,1,1.836166942824169,0.4912676421943076,High-Risk
agile,Software Engineering,0.1404397052364452,0.5373414748708314,0.274694,0.213647,0.6341463414634143,0.5665329403023175,1,2,-0.7602173384511443,-0.6549404317662154,Growing
software development,Software Engineering,0.1274339954126201,0.6200093940817286,0.317708,0.266445,0.6341463414634143,0.5665329403023175,1,2,-0.34192331470481685,-0.28333759991315977,Growing
testing,Software Engineering,0.1217119711092674,0.2461249412869891,0.265282,0.216942,0.6341463414634143,0.5665329403023175,1,2,-1.1211948085795176,-1.5707523993327643,Growing
machine learning,AI_ML,0.1194060807183641,0.8511038046031001,0.346147,0.646826,0.6341463414634143,0.70156024372584,1,0,1.103340271711332,0.4788109124756114,Stable
javascript,Programming,0.1153067200234249,0.5373414748708314,1.0,0.5977628382577256,1.0,0.0801447139711219,1,3,5.391572125069703,-0.7599086271133729,Future-Proof
automation,Software Engineering,0.1137572592845639,0.4396430248943166,0.302034,0.330555,0.6341463414634143,0.5665329403023175,1,2,-0.3980597314603111,-0.8273590653676451,Growing
data analytics,Data Analytics,0.1059733541554829,0.4419915453264442,0.431744,0.242801,0.6341463414634143,0.5665329403023175,1,2,-0.17376533332427982,-0.7888662066284801,Growing
data visualization,Data Analytics,0.1026548240691035,0.4276045091592297,0.263399,0.328155,0.6341463414634143,0.5665329403023175,1,2,-0.599326728423464,-0.8114986623412467,Growing
software engineering,Software Engineering,0.1005929432433751,0.7820573038985439,0.343115,0.247802,0.6341463414634143,0.5665329403023175,1,2,-0.18546288074106904,0.4254501797388231,Growing
linux,DevOps,0.0959933629398272,0.5746829497416628,0.483292,0.377007,0.6341463414634143,0.3685684406574158,1,1,0.8982274520902884,0.0007441384443056899,High-Risk
cloud computing,Cloud,0.0913449807232443,0.6716768435885392,0.384641,0.374111,0.6341463414634143,0.1308896492023329,1,1,0.9110118165590594,0.651641563169465,High-Risk
azure,Cloud,0.0886242740715436,0.6057303898543918,0.30692692216139,0.334348,0.21951219512195097,0.1308896492023329,1,1,-0.9687190065937255,1.4971309620712465,High-Risk
tableau,Data Analytics,0.0857327607242203,0.4209746359793329,0.34347,0.310487,0.5317073170731708,0.5665329403023175,1,2,-0.700797392250717,-0.4781446762476429,Growing
jira,Tools_Platforms,0.0855375530720804,0.4903710662282761,0.227972,0.3707135190102254,0.6341463414634143,0.5665329403023175,1,2,-0.568545594870564,-0.49263941533195826,Growing
kubernetes,DevOps,0.0818774095944561,0.7108619069985909,0.3329207331587717,0.3825772555222869,0.21951219512195097,0.3685684406574158,1,0,-0.9418277538297126,1.6199255374905295,Stable
c++,Programming,0.0811819823337074,0.9410521371535934,0.644373,0.2961979549178012,0.5853658536585367,0.1310244007450515,1,1,1.8163414125560564,1.769554493867226,High-Risk
devops,DevOps,0.0770094187692157,0.6312822921559418,0.509982,0.347952,0.6341463414634143,0.3685684406574158,1,1,0.9313787145889652,0.29659045820002045,High-Risk
