skill,sub_category,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate,history_found,cluster,pc1,pc2,archetype,history_length_x,history_length_y,forecast_method,forecast_2028,forecast_score,forecast_class
data analysis,Data Analytics,1.0,0.3262094880225457,0.625994,0.559777,0.6341463414634143,0.5665329403023175,1,3,3.282909114588735,-5.95995092518913,Future-Proof,0.0,0.0,Feature-Based,0.7075915192219208,1.309979460002212e-05,Declining
excel,Data Analytics,0.5062954467815138,0.0676373884452794,0.340903,0.535307,0.6341463414634143,0.5665329403023175,1,2,0.823163994134931,-4.208818098163415,Growing,0.0,0.0,Feature-Based,0.524853553256375,8.911022449703444e-06,Declining
quality assurance,Software Engineering,0.4426211507491093,0.1758572099577265,0.275063,0.305183,0.6341463414634143,0.5665329403023175,1,2,-0.244958418473134,-3.5349082196832886,Growing,0.0,0.0,Feature-Based,0.4416362644466536,7.003491850085688e-06,Declining
microsoft excel,Data Analytics,0.3144429261627056,0.0676373884452794,0.233033,0.394582,0.6341463414634143,0.5665329403023175,1,2,-0.4661618047369586,-3.2033263517471204,Growing,0.0,0.0,Feature-Based,0.42132954707073245,6.5380154409595825e-06,Declining
python,Programming,0.3070616368161632,0.6312822921559418,0.8764579861937632,0.7015987797299588,0.951219512195122,0.2559549510373113,1,3,5.283295926491473,-1.5437754891409756,Future-Proof,10.0,10.0,Feature-Based,0.514274673575555,8.668530330704235e-06,Declining
sql,Database,0.2688375384315065,0.4884922498825739,0.8870745060699834,0.6359527710298853,0.6634146341463412,0.282090112081051,1,3,3.910240588374755,-1.136054933890292,Future-Proof,10.0,10.0,Feature-Based,0.4652108963288185,7.543876334285571e-06,Declining
electrical engineering,Engineering_Systems,0.2050534380947733,0.443400657585721,0.185112,0.131057,0.6341463414634143,0.5665329403023175,1,2,-1.3869378770531724,-1.3531914614845035,Growing,0.0,0.0,Feature-Based,0.31783935065035285,4.165783429367483e-06,Declining
mechanical engineering,Engineering_Systems,0.1875457517934703,0.3259746359793329,0.150221,0.178096,0.6341463414634143,0.5665329403023175,1,2,-1.523719092848676,-1.6608321981478138,Growing,0.0,0.0,Feature-Based,0.32085769475996184,4.234970780116437e-06,Declining
java,Programming,0.1694768434922648,0.6448097698449977,0.4455129731016424,0.2813965312694198,0.7317073170731705,0.0591148839694761,1,1,1.3864247462953136,-0.0451268551103306,High-Risk,12.0,12.0,Feature-Based,0.25369293587488473,2.6954008827819957e-06,Declining
aws,Cloud,0.1554096920599287,0.6782527007984969,0.5054986907879074,0.409682,0.6341463414634143,0.007890961209833,1,1,1.836166942824169,0.4912676421943076,High-Risk,5.0,5.0,Linear,43625.800000000745,1.0,Explosive
