skill,cluster,archetype
aws,3,Future-Proof
azure,1,Stable
c#,1,Stable
c++,1,Stable
django,1,Stable
docker,2,Emerging
fastapi,1,Stable
flask,1,Stable
gcp,1,Stable
go,2,Emerging
java,1,Stable
javascript,3,Future-Proof
kubernetes,1,Stable
langchain,0,High-Risk
llm,0,High-Risk
mongodb,1,Stable
mysql,1,Stable
next.js,1,Stable
node.js,1,Stable
numpy,1,Stable
pandas,1,Stable
postgresql,2,Emerging
power bi,0,High-Risk
python,3,Future-Proof
pytorch,0,High-Risk
rag,0,High-Risk
react,1,Stable
redis,1,Stable
rust,2,Emerging
scikit-learn,1,Stable
spark,0,High-Risk
sql,3,Future-Proof
tableau,0,High-Risk
tensorflow,1,Stable
typescript,2,Emerging
