skill,year,demand
.NET,2022,15850
.NET (5+),2023,17005
.NET (5+),2024,11542
.NET Core / .NET 5,2021,15310
.NET Framework,2021,16620
.NET Framework (1.0 - 4.8),2023,11452
.NET Framework (1.0 - 4.8),2024,7525
.NET MAUI,2023,1573
.NET MAUI,2024,1446
APL,2021,536
APL,2022,504
APL,2023,225
APT,2023,5780
APT,2024,5669
APT,2025,4516
ASP.NET,2021,9918
ASP.NET,2022,8139
ASP.NET,2023,9185
ASP.NET,2024,6265
ASP.NET,2025,3360
ASP.NET CORE,2023,11896
ASP.NET CORE,2024,8187
ASP.NET Core,2021,11404
ASP.NET Core,2022,10155
ASP.NET Core,2025,4664
AWS,2021,29138
AWS,2022,25939
Ada,2023,677
Ada,2024,542
Ada,2025,431
Alibaba Cloud,2024,548
Amazon Redshift,2025,611
Amazon Web Services (AWS),2023,33818
Amazon Web Services (AWS),2024,22191
Amazon Web Services (AWS),2025,10618
Angular,2021,14471
Angular,2022,11138
Angular,2023,12537
Angular,2024,8306
Angular,2025,4319
Angular.js,2021,7242
Angular.js,2022,4912
AngularJS,2023,5176
AngularJS,2024,3292
AngularJS,2025,1718
Ansible,2021,5607
Ansible,2022,5210
Ansible,2023,6921
Ansible,2024,4272
Ansible,2025,2878
Ant,2023,2371
Ant,2024,1539
Apache Kafka,2022,4748
Apache Kafka,2023,5984
Apache Kafka,2024,4308
Apache Spark,2021,2833
Apache Spark,2022,2298
Apache Spark,2023,2748
Apache Spark,2024,2016
Apex,2023,579
Apex,2024,502
Assembly,2021,4632
Assembly,2022,3887
Assembly,2023,4753
Assembly,2024,3233
Assembly,2025,2246
Astro,2024,1462
Astro,2025,1058
Axum,2025,671
Bash/Shell,2021,22385
Bash/Shell,2022,20656
Bash/Shell (all shells),2023,28351
Bash/Shell (all shells),2024,20412
Bash/Shell (all shells),2025,15503
BigQuery,2023,3456
BigQuery,2024,2531
BigQuery,2025,1705
Blazor,2022,2438
Blazor,2023,3501
Blazor,2024,2378
Blazor,2025,1648
Boost.Test,2023,342
Bun,2023,620
Bun,2024,2050
Bun,2025,1344
C,2021,17329
C,2022,13692
C,2023,16940
C,2024,12184
C,2025,6987
C#,2021,22984
C#,2022,19883
C#,2023,24193
C#,2024,16318
C#,2025,8852
C++,2021,20057
C++,2022,16024
C++,2023,19634
C++,2024,13827
C++,2025,7485
CMake,2023,11506
COBOL,2021,437
COBOL,2022,464
COBOL,2025,308
CUDA,2023,3042
CUDA,2024,2658
CUTE,2023,54
Capacitor,2022,1142
Capacitor,2023,1127
Capacitor,2024,804
Cargo,2023,10409
Cargo,2025,3521
Cassandra,2021,1873
Cassandra,2022,1617
Cassandra,2023,1927
Cassandra,2024,1268
Cassandra,2025,766
Catch2,2023,663
Chef,2021,982
Chef,2022,828
Chef,2023,758
Chef,2024,399
Chocolatey,2023,6509
Chocolatey,2024,4746
Chocolatey,2025,2706
Clickhouse,2023,849
Clickhouse,2024,890
Clickhouse,2025,627
Clojure,2021,1552
Clojure,2022,1070
Clojure,2023,1105
Clojure,2024,737
Cloud Firestore,2022,4535
Cloud Firestore,2023,4901
Cloud Firestore,2024,2842
Cloud Firestore,2025,1494
Cloudflare,2023,10599
Cloudflare,2024,6974
Cloudflare,2025,4923
Cobol,2023,576
Cobol,2024,413
Cockroachdb,2023,795
Cockroachdb,2024,507
Cockroachdb,2025,262
CodeIgniter,2023,1238
CodeIgniter,2024,812
Colocation,2022,642
Colocation,2023,497
Colocation,2024,307
Composer,2023,6266
Composer,2024,4767
Composer,2025,2701
Cordova,2021,3491
Cordova,2022,1903
Cordova,2023,1616
Cordova,2024,1011
Cosmos DB,2023,2672
Cosmos DB,2024,1746
Cosmos DB,2025,1190
Couch DB,2023,887
Couch DB,2024,534
CouchDB,2022,783
Couchbase,2021,1106
Couchbase,2022,807
Couchbase,2023,598
Couchbase,2024,353
Crystal,2021,466
Crystal,2022,340
Crystal,2023,389
Crystal,2024,253
Dagger,2023,866
Dagger,2024,635
Dart,2021,4965
Dart,2022,4648
Dart,2023,5273
Dart,2024,3594
Dart,2025,1885
Databricks,2024,918
Databricks SQL,2024,1003
Databricks SQL,2025,895
Datadog,2025,2169
Datomic,2023,244
Datomic,2024,184
Datomic,2025,148
Delphi,2021,1731
Delphi,2022,2311
Delphi,2023,2831
Delphi,2024,1073
Delphi,2025,796
Deno,2021,1027
Deno,2022,925
Deno,2023,1697
Deno,2024,943
Deno,2025,960
Digital Ocean,2023,9299
Digital Ocean,2024,5409
Digital Ocean,2025,2621
DigitalOcean,2021,9495
DigitalOcean,2022,7953
DirectX,2024,879
Django,2021,9446
Django,2022,8002
Django,2023,8238
Django,2024,5835
Django,2025,2980
Docker,2021,35644
Docker,2022,34981
Docker,2023,41369
Docker,2024,29219
Docker,2025,17414
Drupal,2021,1508
Drupal,2022,1211
Drupal,2023,1343
Drupal,2024,920
Drupal,2025,526
DuckDB,2023,469
DuckDB,2024,710
DuckDB,2025,863
DynamoDB,2021,5137
DynamoDB,2022,5029
Dynamodb,2023,6798
Dynamodb,2024,4138
Dynamodb,2025,2551
ELFspy,2023,51
Elasticsearch,2021,9331
Elasticsearch,2022,7430
Elasticsearch,2023,10263
Elasticsearch,2024,6533
Elasticsearch,2025,4347
Electron,2022,4390
Electron,2023,4685
Electron,2024,2961
Elixir,2021,1438
Elixir,2022,1528
Elixir,2023,2028
Elixir,2024,1243
Elixir,2025,847
Elm,2023,580
Elm,2024,309
Erlang,2021,651
Erlang,2022,641
Erlang,2023,868
Erlang,2024,522
Erlang,2025,465
EventStoreDB,2024,162
Express,2021,15010
Express,2022,12557
Express,2023,13843
Express,2024,8614
