skill,year,demand,adoption_rate
ada,2023,677,0.007591047721564406
ada,2024,542,0.008282775799624066
ada,2025,431,0.008727346360230839
alibaba cloud,2024,548,0.008374467044638354
amazon redshift,2025,611,0.012372177786777362
angular,2021,21713,0.26022603338966194
angular,2022,16050,0.21905879783807392
angular,2023,17713,0.19861185862935057
angular,2024,11598,0.1772391766126198
angular,2025,6037,0.1222435962336742
ansible,2021,5607,0.06719879193183044
ansible,2022,5210,0.07110880602718786
ansible,2023,6921,0.07760360602798708
ansible,2024,4272,0.06528416645017344
ansible,2025,2878,0.05827680469778273
ant,2023,2371,0.026585486185862935
ant,2024,1539,0.023518804346165014
apache kafka,2022,4748,0.06480318829502647
apache kafka,2023,5984,0.067097237172587
apache kafka,2024,4308,0.06583431392025918
apache spark,2021,2833,0.03395294766236412
apache spark,2022,2298,0.03136430638204946
apache spark,2023,2748,0.03081270182992465
apache spark,2024,2016,0.030808258324800955
apex,2023,579,0.006492195909580193
apex,2024,502,0.0076715008328621425
apl,2021,536,0.006423854552427522
apl,2022,504,0.006878855707812414
apl,2023,225,0.0025228740581270184
apt,2023,5780,0.06480983135988518
apt,2024,5669,0.08663294466433363
apt,2025,4516,0.09144477067935608
assembly,2021,4632,0.055513608744112465
assembly,2022,3887,0.05305180979418027
assembly,2023,4753,0.053294312881234304
assembly,2024,3233,0.04940629918853248
assembly,2025,2246,0.045479396577908275
astro,2024,1462,0.02234210003514831
astro,2025,1058,0.021423509162701224
aws,2021,29138,0.3492131976653603
aws,2022,25939,0.35402904405743296
aws,2023,33818,0.3791935773232867
aws,2024,22191,0.3391200696853462
aws,2025,10618,0.21500455603928317
axum,2025,671,0.013587121595626202
azure,2021,16540,0.19822864607677465
azure,2022,14604,0.1993230332478026
azure,2023,18105,0.2030072658772874
azure,2024,12850,0.19637208307226797
azure,2025,6447,0.13054571226080794
bandit,2023,362,0.00405902404018658
bash/shell,2021,22385,0.2682798211867352
bash/shell,2022,20656,0.2819238958344707
bash/shell (all shells),2023,28351,0.317893344097596
bash/shell (all shells),2024,20412,0.31193361553860965
bash/shell (all shells),2025,15503,0.31392123114305964
bigquery,2023,3456,0.038751345532831
bigquery,2024,2531,0.03867842352186072
bigquery,2025,1705,0.03452465323478789
blazor,2022,2438,0.033275099634219575
blazor,2023,3501,0.03925592034445641
blazor,2024,2378,0.03634029677399636
blazor,2025,1648,0.033370456616381494
boost.test,2023,342,0.003834768568353068
build2,2023,159,0.0017828310010764262
bun,2023,620,0.006951919626838895
bun,2024,2050,0.031327842046548586
bun,2025,1344,0.027214741318214032
c,2021,17329,0.2076846558563741
c,2022,13692,0.18687558006223726
c,2023,16940,0.1899443846429853
c,2024,12184,0.18619435487568195
c,2025,6987,0.14148020654044752
capacitor,2022,1142,0.015586613528416225
capacitor,2023,1127,0.012636795837818442
capacitor,2024,804,0.012286626831914666
cargo,2023,10409,0.1167137603157517
cargo,2025,3521,0.07129695251594614
cassandra,2021,1873,0.022447536523687965
cassandra,2022,1617,0.022069662062564832
cassandra,2023,1927,0.021607014711158952
cassandra,2024,1268,0.01937741644635298
cassandra,2025,766,0.015510782626303534
catch2,2023,663,0.007434068891280947
chef,2021,982,0.011769076810604153
chef,2022,828,0.011300977234263253
chef,2023,758,0.008499282382490132
chef,2024,399,0.006097467793450189
chocolatey,2023,6509,0.07298394330821673
chocolatey,2024,4746,0.07252777480630225
chocolatey,2025,2706,0.054793965779082715
clickhouse,2023,849,0.009519644779332617
clickhouse,2024,890,0.013600868010452802
clickhouse,2025,627,0.012696162802470386
clojure,2021,1552,0.018600414674193124
clojure,2022,1070,0.014603919855871594
clojure,2023,1105,0.01239011481880158
clojure,2024,737,0.011262741262588444
cloud firestore,2022,4535,0.061896052847081946
cloud firestore,2023,4901,0.0549538033728023
cloud firestore,2024,2842,0.04343108638843468
cloud firestore,2025,1494,0.030252100840336135
cloudflare,2023,10599,0.11884418729817008
cloudflare,2024,6974,0.1065757904549414
cloudflare,2025,4923,0.09968613951604738
cmake,2023,11506,0.12901417294581988
cobol,2021,437,0.005237359028751543
cobol,2022,464,0.0063329147786209536
cobol,2023,576,0.006458557588805167
cobol,2024,413,0.006311414031816862
cobol,2025,308,0.006236711552090716
cockroachdb,2023,795,0.00891415500538213
cockroachdb,2024,507,0.007747910203707383
cockroachdb,2025,262,0.005305254631973271
codeigniter,2023,1238,0.013881413706494438
codeigniter,2024,812,0.012408881825267051
colocation,2022,642,0.008762351913522957
colocation,2023,497,0.005572748475062792
colocation,2024,307,0.0046915353698977645
composer,2023,6266,0.07025923932543954
composer,2024,4767,0.07284869416385226
composer,2025,2701,0.05469272046167865
cordova,2021,3491,0.04183894821366507
cordova,2022,1903,0.02597313970628378
cordova,2023,1616,0.018119842124147828
cordova,2024,1011,0.015449974784907622
cosmos db,2023,2672,0.0299605310369573
cosmos db,2024,1746,0.02668215229915797
cosmos db,2025,1190,0.024096385542168676
couch db,2023,887,0.00994573017581629
couch db,2024,534,0.00816052080627168
couchbase,2021,1106,0.013255192416016491
couchbase,2022,807,0.011014358246437735
couchbase,2023,598,0.006705238607822031
couchbase,2024,353,0.005394501581673977
couchdb,2022,783,0.010686793688922858
cpp,2021,20057,0.24037919917544553
cpp,2022,16024,0.21870393623409948
cpp,2023,19634,0.22015159669895945
cpp,2024,13827,0.21130247413542796
cpp,2025,7485,0.1515642401538929
cppunit,2023,346,0.0038796196627197705
crystal,2021,466,0.005584918323565719
crystal,2022,340,0.004640497898127423
crystal,2023,389,0.004361768927161822
crystal,2024,253,0.003866314164769167
csharp,2021,22984,0.27545871834513835
csharp,2022,19883,0.2713735873778457
csharp,2023,24193,0.2712706315034087
csharp,2024,16318,0.24936962269052676
csharp,2025,8852,0.17924470993216562
cuda,2023,3042,0.03410925726587729
cuda,2024,2658,0.04061922154132983
cute,2023,54,0.0006054897739504844
dagger,2023,866,0.009710261930391102
dagger,2024,635,0.009703990097345539
dart,2021,4965,0.05950454823284076
dart,2022,4648,0.06343833597204783
dart,2023,5273,0.05912495514890563
dart,2024,3594,0.05492305576355884
dart,2025,1885,0.038169484661334414
databricks,2024,918,0.014028760487186149
databricks sql,2024,1003,0.015327719791555236
databricks sql,2025,895,0.018122911815328543
datadog,2025,2169,0.04392021868988559
datomic,2023,244,0.0027359167563688553
datomic,2024,184,0.002811864847104849
datomic,2025,148,0.0029968613951604738
delphi,2021,1731,0.020745694459425448
delphi,2022,2311,0.03154173718403669
delphi,2023,2831,0.031743362038033726
delphi,2024,1073,0.016397450983388604
delphi,2025,796,0.016118254530727953
deno,2021,1027,0.012308392957729598
deno,2022,925,0.012624883987552547
deno,2023,1697,0.019028076785073556
deno,2024,943,0.014410807341412351
deno,2025,960,0.019439100941581453
digital ocean,2023,9299,0.10426758162899175
digital ocean,2024,5409,0.08265965738038113
digital ocean,2025,2621,0.05307279538321353
digitalocean,2021,9495,0.11379570704346888
digitalocean,2022,7953,0.10854670524649233
directx,2024,879,0.013432767394593273
django,2021,9446,0.11320845168326561
django,2022,8002,0.10921548288475187
django,2023,8238,0.0923708288482239
django,2024,5835,0.08916973577639561
django,2025,2980,0.060342209172825755
docker,2021,35644,0.4271863277364302
docker,2022,34981,0.47743899110116284
docker,2023,41369,0.4638612307140294
docker,2024,29219,0.4465210813454162
docker,2025,17414,0.35261719145489523
doctest,2023,393,0.0044066200215285255
dotnet,2021,53252,0.6382147437049821
dotnet,2022,34144,0.46601517715783153
dotnet,2023,51111,0.5730960710441335
dotnet,2024,34965,0.5343307303207665
dotnet,2025,8024,0.16247848537005163
drupal,2021,1508,0.018073083330337133
drupal,2022,1211,0.016528361631271495
drupal,2023,1343,0.01505875493362038
drupal,2024,920,0.014059324235524244
drupal,2025,526,0.010651007390908171
duckdb,2023,469,0.005258790814495874
duckdb,2024,710,0.010850130660024146
duckdb,2025,863,0.01747494178394249
dynamodb,2021,5137,0.0615659343951869
dynamodb,2022,5029,0.0686384233225965
dynamodb,2023,6798,0.07622443487621099
dynamodb,2024,4138,0.063236395311521
dynamodb,2025,2551,0.05165536093955655
elasticsearch,2021,9331,0.11183019930727837
elasticsearch,2022,7430,0.10140852759731397
elasticsearch,2023,10263,0.11507669537136705
elasticsearch,2024,6533,0.09983648394639119
elasticsearch,2025,4347,0.08802267895109851
electron,2022,4390,0.0599170169787629
electron,2023,4685,0.05253184427700036
electron,2024,2961,0.0452496294145514
elfspy,2023,51,0.0005718514531754575
elixir,2021,1438,0.01723414710147533
elixir,2022,1528,0.02085494349511383
elixir,2023,2028,0.022739504843918193
elixir,2024,1243,0.01899536959212678
elixir,2025,847,0.01715095676824947
elm,2023,580,0.006503408683171869
elm,2024,309,0.004722099118235861
erlang,2021,651,0.00780210692841477
erlang,2022,641,0.008748703390293171
erlang,2023,868,0.009732687477574452
erlang,2024,522,0.007977138316243105
erlang,2025,465,0.009415814518578515
eventstoredb,2024,162,0.002475663615385791
express,2021,15010,0.17989189707450953
express,2022,12557,0.17138450619642956
express,2023,13843,0.15521842482956585
express,2024,8614,0.13163806409218026
express,2025,4710,0.095373088994634
f#,2021,804,0.009635781828641284
f#,2022,730,0.009963421957744172
f#,2023,849,0.009519644779332617
f#,2024,512,0.007824319574552624
f#,2025,406,0.00822111977321049
fastapi,2021,2447,0.02932681360035475
fastapi,2022,3289,0.04488999290276792
fastapi,2023,5325,0.059708019375672765
fastapi,2024,4800,0.07335299601143085
fastapi,2025,3504,0.0709527184367723
fastify,2022,1008,0.013757711415624829
fastify,2023,1474,0.016527628274129888
fastify,2024,1070,0.01635160536088146
fastify,2025,692,0.014012351928723297
firebase,2021,11373,0.1363031675835041
firebase,2022,10751,0.14673527324343505
firebase,2023,10761,0.12066065662002153
firebase,2024,6443,0.09846111527117686
firebase,2025,3200,0.06479700313860484
firebase realtime database,2022,5309,0.07246000982693672
firebase realtime database,2023,4939,0.05537988876928597
firebase realtime database,2024,3018,0.04612069624218714
firebase realtime database,2025,1299,0.026303533461577402
firebird,2023,1152,0.012917115177610334
firebird,2024,563,0.008603695157174076
flask,2021,10174,0.12193338846342837
flask,2022,7994,0.10910629469891357
flask,2023,8734,0.097932364549695
flask,2024,6245,0.09543530418570534
flask,2025,3406,0.06896831021565253
flow,2021,929,0.011133882237323074
flow,2022,444,0.006059944314025223
flow,2023,214,0.0023995335486185865
flutter,2021,6586,0.07893191433262622
flutter,2022,5799,0.07914778620953213
flutter,2023,6132,0.068756727664155
flutter,2024,4293,0.06560508580772346
fly.io,2023,1649,0.018489863652673126
fly.io,2024,1189,0.01817014838699818
fortran,2022,646,0.008816946006442103
fortran,2023,833,0.009340240401865806
fortran,2024,665,0.01016244632241698
fortran,2025,449,0.009091829502885491
gatsby,2021,2501,0.029973992976905284
gatsby,2022,1889,0.025782060381066767
gatsby,2023,1675,0.018781395766056693
gatsby,2024,758,0.011583660620138454
gcp,2021,16687,0.19999041215738445
gcp,2022,13634,0.18608396571490965
gcp,2023,16592,0.18604233943308215
gcp,2024,11605,0.1773461497318031
gcp,2025,6015,0.12179811683709628
gdscript,2023,1495,0.016763096519555078
gdscript,2024,1402,0.021425187585005424
gdscript,2025,1062,0.02150450541662448
git,2021,68171,0.8170160236819712
gleam,2025,354,0.0071681684722081605
gnu gcc,2023,10038,0.11255382131324004
go,2021,7879,0.09442826496003068
go,2022,7922,0.10812360102636895
go,2023,11592,0.12997847147470398
go,2024,8103,0.12382902639179669
go,2025,5219,0.10567986230636833
godot,2023,2478,0.02778525296017223
godot,2024,2363,0.03611106866146064
google test,2023,2146,0.024062612127735916
google test,2024,1678,0.025642984855662698
gradle,2023,11961,0.1341159849300323
gradle,2024,8310,0.12699237434478963
gradle,2025,3523,0.07133745064290777
groovy,2021,2479,0.029710327304977288
groovy,2022,2357,0.03216956925260687
groovy,2023,2976,0.03336921420882669
