skill,linkedin_frequency,category,sub_category,confidence
communication,370143,Soft Skill,General,1.0
customer service,278102,Domain Knowledge,General,0.95
teamwork,227609,Soft Skill,General,1.0
communication skills,195949,Soft Skill,General,1.0
leadership,185187,Soft Skill,General,1.0
problem solving,149032,Soft Skill,General,1.0
time management,142911,Soft Skill,General,1.0
attention to detail,133975,Soft Skill,General,1.0
problemsolving,129329,Domain Knowledge,General,0.95
project management,121563,Domain Knowledge,General,0.95
interpersonal skills,100267,Soft Skill,General,1.0
patient care,99926,Domain Knowledge,General,0.95
sales,93031,Domain Knowledge,General,0.95
nursing,88015,Domain Knowledge,General,0.95
collaboration,87116,Soft Skill,General,1.0
training,83656,Domain Knowledge,General,0.95
data analysis,81964,Technical,General,1.0
microsoft office suite,75531,Technical,General,1.0
organizational skills,75274,Soft Skill,General,1.0
inventory management,71911,Domain Knowledge,General,0.95
high school diploma,67267,Noise,Qualification/Benefit,1.0
scheduling,64461,Domain Knowledge,General,0.95
bachelor's degree,63490,Noise,Qualification/Benefit,1.0
multitasking,62044,Domain Knowledge,General,0.95
analytical skills,60768,Domain Knowledge,General,0.95
microsoft office,60604,Technical,General,1.0
adaptability,59121,Soft Skill,General,1.0
flexibility,56896,Soft Skill,General,1.0
critical thinking,53081,Soft Skill,General,1.0
documentation,51875,Domain Knowledge,General,0.95
organization,47045,Domain Knowledge,General,0.95
safety,45908,Domain Knowledge,General,0.95
budgeting,45401,Domain Knowledge,General,0.95
troubleshooting,44508,Technical,General,1.0
excel,41498,Technical,General,1.0
problemsolving skills,41468,Domain Knowledge,General,0.95
written communication,41235,Soft Skill,General,1.0
conflict resolution,40955,Soft Skill,General,1.0
supervision,39138,Domain Knowledge,General,0.95
coaching,38473,Domain Knowledge,General,0.95
quality control,37857,Domain Knowledge,General,0.95
merchandising,37578,Domain Knowledge,General,0.95
paid time off,37267,Noise,Qualification/Benefit,1.0
verbal communication,37203,Soft Skill,General,1.0
life insurance,36732,Noise,Qualification/Benefit,1.0
reporting,36528,Domain Knowledge,General,0.95
quality assurance,36279,Technical,General,1.0
decision making,36102,Soft Skill,General,1.0
computer skills,35665,Technical,General,1.0
team management,35034,Domain Knowledge,General,0.95
travel,35025,Domain Knowledge,General,0.95
accounting,34835,Domain Knowledge,General,0.95
